source,class
tpgpmb.qg+gzgqmw.q_z_translated.npy,1.0
tbbgpz.bw+pvbbts.b_t_flipped.npy,0.0
tpgmmm.bb+gpmgmb.t_t_flipped.npy,1.0
tzzbtz.zm+ggtvtz.g_t_translated.npy,1.0
tbtsgm.tm+gmtwgb.w_zmm.npy,5.0
tzbstp.vb+pspvzb.q_t_flipped.npy,1.0
tbgbgv.tg+gmtwpv.w_zmm.npy,5.0
ttzzmm.vp+pqpgzw.m_zmm.npy,1.0
tppzps.tt+gpbtpb.m_t_translated.npy,0.0
tbmspg.vm+pvmvzg.q_t_rotated.npy,0.0
ttgqpp.tw+gmbppq.m_z_flipped.npy,1.0
ttmqzt.pg+pvtpgp.m_t_rotated.npy,1.0
tpbpps.bz+gttmbw.b_zmm.npy,1.0
tppgmb.gm+gtbtbs.t_zmm.npy,5.0
tzzptz.sq+pqmwmm.s_t_translated.npy,1.0
tztqmp.gz+gbzqpb.m_z_flipped.npy,1.0
tbtbtq.mb+pvbggg.b_zmm.npy,5.0
ttbpgv.vt+gpbqmv.m_zmm.npy,1.0
tbptzp.vs+gppqbp.q_t_translated.npy,0.0
tptspp.vw+pvzstm.w_zmm.npy,5.0
tbmbmg.bb+gmptbz.m_t_rotated.npy,1.0
tbbztb.zz+pvgqmq.s_zmm.npy,0.0
tbbggv.sb+pwgszb.b_t_translated.npy,0.0
ttzgtv.gm+psmgzq.v_zmm.npy,5.0
tzmsbv.vt+pstmtz.z_t_flipped.npy,0.0
tppvgw.wz+psmwpt.p_t_rotated.npy,0.0
tbmbbt.bm+gpmmzp.t_z_flipped.npy,1.0
tppwgm.pq+gtpwzg.b_z_flipped.npy,2.0
tttgpw.tm+pwpgzw.p_t_rotated.npy,2.0
tpgqzq.pz+gtmsgg.m_z_rotated.npy,1.0
tgmwms.wb+gzgwpw.q_t_translated.npy,0.0
ttgmtt.zs+gbpbzm.q_t_flipped.npy,2.0
tpmbgb.vp+ggbwpm.g_t_rotated.npy,0.0
tzgbzw.bq+gmgpzq.p_z_translated.npy,1.0
ttpqgm.vv+pwtvgt.b_t_flipped.npy,2.0
tzpqgs.bp+gtmbtg.s_t_translated.npy,0.0
tpzsgm.tp+pvmbzs.t_t_flipped.npy,0.0
tpbptp.vg+gmgtgt.t_t_translated.npy,0.0
tgmpmm.tm+gztgps.w_zmm.npy,0.0
tptsmp.sb+ggmpzt.t_t_rotated.npy,0.0
tztmpp.gv+gggvbg.s_zmm.npy,0.0
tbbvgv.ss+gzbqtq.m_t_translated.npy,0.0
tzzwzp.qq+gmbvmm.t_z_flipped.npy,1.0
ttgqtp.bg+pqpvtt.w_zmm.npy,3.0
tptpgt.bs+gwbbbv.m_t_translated.npy,2.0
ttbqmv.vs+ggbqpt.m_t_translated.npy,1.0
tzzszm.wb+gtpgtm.g_z_translated.npy,1.0
ttpppm.zs+pwtmbs.t_z_flipped.npy,1.0
tttvmb.bg+gptmmv.s_zmm.npy,3.0
ttbbzb.gq+gtzzbz.m_zmm.npy,5.0
ttbwzw.gz+gmtbzm.b_z_translated.npy,2.0
tbmvgs.tp+gpzqtg.q_t_rotated.npy,1.0
tzptpm.bb+pqbptm.m_zmm.npy,4.0
tbptpp.qw+pwgstw.g_t_flipped.npy,1.0
tpzpbp.gm+pqmtgz.w_zmm.npy,1.0
tzzqgp.tb+gzmqtg.b_t_flipped.npy,1.0
tbtqtb.qb+gzbqbq.t_zmm.npy,5.0
tbgbzm.pz+pggqmb.q_zmm.npy,0.0
tptbzs.bv+pqpgpm.w_zmm.npy,5.0
tmpsmb.mb+gzbmzb.p_t_flipped.npy,2.0
ttgbtt.sq+pqtmtv.w_zmm.npy,1.0
tzbwzw.wp+gmgbbm.t_z_rotated.npy,1.0
tpzggg.mt+pvgqbq.p_zmm.npy,5.0
ttttbw.tg+gbbgmm.p_zmm.npy,5.0
ttmvgb.qm+psmmgp.w_t_rotated.npy,1.0
tpbmpv.bg+gbpptb.b_t_flipped.npy,2.0
tbmqbm.vt+pqgmmp.t_zmm.npy,5.0
tbmvbb.tm+gbttmg.s_t_rotated.npy,1.0
ttgvmm.qw+gpbgtt.v_zmm.npy,5.0
tbpwmw.ps+pvgqpt.p_zmm.npy,1.0
tbgwtw.mz+pstzpv.m_t_translated.npy,0.0
tztstm.zb+pqmvtb.w_zmm.npy,5.0
tzmpgv.sw+pqpmzq.m_z_translated.npy,1.0
tbzpzb.bs+ggzpzt.m_t_flipped.npy,0.0
ttmtpz.zz+pspzgv.q_t_flipped.npy,0.0
ttgqgt.tt+pvtqpb.z_t_flipped.npy,0.0
tpzwzb.gt+ggtsgz.b_z_flipped.npy,1.0
tztbbm.ww+gbzvgb.b_zmm.npy,0.0
tgmgbg.bb+pqtztz.g_t_flipped.npy,0.0
tppvmb.mz+pqgwpq.p_t_flipped.npy,0.0
tgmmgb.bp+gbbbtv.p_zmm.npy,1.0
tzpbgm.wq+gbmstm.v_zmm.npy,5.0
tzbspq.zw+gtpvtv.t_t_flipped.npy,0.0
tzmzzm.vm+psbgzz.z_t_rotated.npy,0.0
ttgqgb.tp+pvtqtm.b_t_translated.npy,2.0
tbzwmw.tb+gbzbzm.q_t_translated.npy,2.0
tzptpm.qp+gzgzmb.v_zmm.npy,2.0
ttmtgz.mm+pszqtq.b_z_rotated.npy,2.0
tzmgbp.qm+pvgspq.v_t_flipped.npy,2.0
tpzztm.zv+pvbptp.v_t_flipped.npy,0.0
tbzvzq.zs+pspgbz.t_zmm.npy,0.0
ttbggg.vm+pvmttv.t_t_rotated.npy,0.0
tgmmgq.vp+gzpwpp.s_z_rotated.npy,1.0
ttmbtz.pw+pqzptv.p_t_translated.npy,0.0
ttttbv.vp+gtpvbq.z_t_rotated.npy,0.0
tbztmp.st+gzmbbp.z_t_flipped.npy,2.0
tttvgm.tq+gbbpgz.s_zmm.npy,0.0
tpmmgm.wz+pwbbmt.m_t_flipped.npy,0.0
ttpsgb.bz+gtbsgt.b_z_rotated.npy,1.0
tppggv.zs+psgggp.z_t_translated.npy,2.0
tbppgz.bp+pvtqgs.g_z_flipped.npy,1.0
ttbqbm.ms+pvtqpt.g_t_translated.npy,0.0
tgmmzw.sp+gtgpzm.t_zmm.npy,1.0
tttbgm.qz+gwbbpv.b_zmm.npy,5.0
tbgwmp.wp+pspbtg.v_zmm.npy,5.0
tzzvgz.tv+pqzvzm.p_t_translated.npy,0.0
tpbvtp.vw+pqzbms.v_z_flipped.npy,1.0
tbmzpp.gt+gbmtgs.m_t_rotated.npy,0.0
tztzpw.vp+pwgttw.t_t_flipped.npy,0.0
tzbwtw.zw+pvgbgm.s_zmm.npy,1.0
tbzbgt.qm+psppzv.z_zmm.npy,5.0
tzzbgv.sz+pvpwpt.s_t_flipped.npy,0.0
tgtbgq.mt+gtgggb.m_t_rotated.npy,1.0
tmgvzz.sb+gtpmbs.p_z_rotated.npy,2.0
tbmvzs.vz+gmzbgw.v_zmm.npy,0.0
ttbwmp.mp+gzzwmz.p_t_flipped.npy,2.0
tztmtg.gw+gtbmbw.g_t_flipped.npy,0.0
tgmqgp.qq+pwgmgp.z_zmm.npy,5.0
tbgstg.qm+pqtzzq.z_z_flipped.npy,1.0
ttzzts.bm+gmgbbw.m_t_rotated.npy,0.0
tzmppt.wv+pqptts.g_zmm.npy,5.0
tztggq.bp+gbzbbw.q_zmm.npy,0.0
ttbqgb.wb+gmmbps.p_zmm.npy,5.0
tztgbz.vm+gtmwtz.m_z_translated.npy,1.0
tbgmgb.gv+gwztgs.g_t_rotated.npy,0.0
tbzvbq.wv+pwbvgp.s_z_translated.npy,1.0
tbgpzg.bq+gpgqzg.m_z_translated.npy,1.0
tbptbt.zm+pwtqgg.b_zmm.npy,5.0
tttggz.wv+gzzqzw.g_t_flipped.npy,0.0
tbtqmw.pt+pspwzv.q_t_flipped.npy,2.0
tbbsbg.zv+gzzbtp.z_zmm.npy,5.0
ttpwgp.qv+gppzzg.b_zmm.npy,5.0
ttptmw.mt+pqmqzp.v_zmm.npy,5.0
tbgmpw.ss+gztmbb.z_t_rotated.npy,0.0
tbbpmg.ms+pszbpp.s_t_translated.npy,0.0
tzztzq.tp+pwpbgp.q_z_translated.npy,1.0
tptsbg.sp+gwbsbb.v_zmm.npy,5.0
tttptt.zg+gzpgpg.b_zmm.npy,1.0
tzmqts.sw+gbtvzb.z_z_flipped.npy,1.0
tzmmmw.sg+pqtzmm.z_zmm.npy,5.0
ttmzbb.mm+gwtqpp.q_zmm.npy,5.0
tzttzs.tb+psmbbg.w_t_flipped.npy,1.0
tbbwmm.st+pvgmtw.w_z_flipped.npy,2.0
tzzpgg.qs+gbzptm.g_zmm.npy,5.0
ttmmpv.bs+gztsgg.m_z_flipped.npy,1.0
tppwpz.zq+gbtbmt.q_zmm.npy,5.0
tgmztz.sb+pqbvzv.w_t_rotated.npy,1.0
tpgsmv.zg+pvzmzs.q_z_rotated.npy,2.0
ttzstq.vs+gmbzgb.m_t_rotated.npy,0.0
tmgvzq.tm+pvtbpb.p_z_flipped.npy,2.0
ttbgpg.tp+gpbbtv.q_zmm.npy,5.0
tpbvbv.qw+gzbppq.b_t_translated.npy,0.0
tpbqpw.qw+pvtzmq.v_zmm.npy,5.0
ttmsgq.qz+gtzmbg.p_z_translated.npy,1.0
tbgbgq.vp+gtgptg.p_t_translated.npy,1.0
tbgptw.zz+gbmmbs.b_t_flipped.npy,0.0
tpmsbw.mt+psmwpg.b_z_flipped.npy,1.0
ttbtpz.pz+psmmmq.g_zmm.npy,5.0
tbpzmw.vg+pszgbs.p_z_flipped.npy,1.0
tpbbzp.wv+gmpqtw.w_z_translated.npy,1.0
ttmbtm.st+pwpvzw.m_z_translated.npy,1.0
ttpbgt.pq+gttstz.w_t_translated.npy,2.0
tbtppq.mg+gbmbbg.t_t_translated.npy,1.0
tttbps.sm+pqbwmz.q_zmm.npy,5.0
tmgwmz.tp+gpgmzm.s_z_translated.npy,1.0
ttbtgs.ts+gwzbpb.g_z_rotated.npy,2.0
tzgvbg.vm+pqtmmm.v_z_rotated.npy,2.0
ttzsmz.sz+ggbpmp.v_t_rotated.npy,0.0
tptvzm.zg+gwtmbp.v_zmm.npy,2.0
tpbtpt.gs+gbzvzb.v_zmm.npy,5.0
ttbtzq.vt+gpggtt.b_t_flipped.npy,0.0
tpzvgw.zt+gpzbgp.w_t_translated.npy,1.0
ttbmbv.mz+ggzgmg.s_t_translated.npy,0.0
tzbwmz.wp+gmmzzz.g_z_rotated.npy,1.0
tbmgzv.qb+gwtqtv.q_z_rotated.npy,1.0
tbzqmb.mv+gpbzgb.m_zmm.npy,5.0
tpgbts.zp+gpmpbs.q_t_translated.npy,0.0
tpmqzz.vm+pszbmq.w_zmm.npy,5.0
tzpvtv.vw+gmmsmp.s_t_flipped.npy,1.0
tbbwbq.zv+ggpmgm.m_t_rotated.npy,2.0
tptvtq.mb+gppqbs.g_zmm.npy,5.0
ttbgtp.wv+gpztmq.q_z_rotated.npy,1.0
ttmpmt.gz+gzmtmt.t_zmm.npy,0.0
tztpmw.tm+gpbtpz.b_z_flipped.npy,1.0
tpmgbs.mt+psgwbm.s_t_flipped.npy,1.0
tbmbgw.ws+pqgbtt.g_zmm.npy,5.0
tbzbmg.mw+gmgqmp.s_t_flipped.npy,1.0
tmgpmb.bv+gtpvzg.w_zmm.npy,0.0
tpzpbs.tp+psmggg.z_zmm.npy,5.0
tbgbtg.pb+ggmwpq.z_z_rotated.npy,1.0
ttgppz.tb+gggtpm.g_z_rotated.npy,1.0
tmppbv.tz+gztgbq.p_z_flipped.npy,1.0
tpbwpb.zs+pwztgb.b_t_rotated.npy,1.0
tzptmz.zm+gmmvbt.s_zmm.npy,2.0
tztvzt.pq+ggmmzz.s_t_flipped.npy,1.0
tppzzp.vt+pqpzgb.p_zmm.npy,5.0
tpgmmt.bg+gtzggw.s_t_rotated.npy,2.0
tpzspz.bs+pstvgt.g_z_translated.npy,1.0
tzzwgv.ps+gbptmz.m_zmm.npy,5.0
tbzwgg.qq+gttwgg.b_zmm.npy,5.0
tgmqgm.zm+gztsbq.t_zmm.npy,1.0
tbbmgb.tb+pwmvbg.g_t_flipped.npy,0.0
ttgmtt.qb+gmzmmv.m_z_rotated.npy,1.0
ttgqgq.vz+gmbqzz.z_zmm.npy,0.0
ttzbps.sq+gzmstq.g_zmm.npy,0.0
tzmmgb.st+pwpwzt.m_zmm.npy,1.0
tbmpps.tw+pvmqtp.b_t_rotated.npy,0.0
tzgvzm.wb+gpzmbb.g_z_translated.npy,2.0
tpmbtp.qb+pspsbb.s_zmm.npy,5.0
tttgtz.st+pqtqbt.w_z_flipped.npy,1.0
tbmvpw.gp+gggppm.z_zmm.npy,5.0
ttpgzs.zg+gpbqzq.z_t_flipped.npy,0.0
tztttg.gt+gbpmbv.z_zmm.npy,5.0
tbgmts.mb+gbtpbm.w_zmm.npy,0.0
tttmtp.mm+pwpptb.g_zmm.npy,5.0
tzpgbq.wz+gtmqpp.v_zmm.npy,2.0
ttbmtw.pq+gtmmgs.m_t_flipped.npy,0.0
tppbbv.zt+pvzttt.t_z_flipped.npy,2.0
tzggmz.zp+gtpwgs.v_zmm.npy,5.0
tppggs.bb+gmbvmp.b_zmm.npy,5.0
tbmpzv.ps+gtbtzs.s_t_translated.npy,0.0
tbzwtp.tq+pqbpbw.s_t_translated.npy,2.0
tbgszt.bb+ggbqzb.v_zmm.npy,0.0
tzzbzz.ws+pqbqmm.q_zmm.npy,0.0
tmgvgg.vg+pvtpmq.q_zmm.npy,5.0
tzpbbv.bg+gmtwmm.q_zmm.npy,5.0
tbzzzs.mb+gzmvmb.p_t_rotated.npy,1.0
ttpvbp.st+gppmbp.z_t_flipped.npy,1.0
tbpzmp.vt+gpbztb.b_zmm.npy,5.0
tbggpb.gq+gtmmbm.q_z_flipped.npy,1.0
tzgbzw.bq+gmgpzq.p_t_flipped.npy,1.0
tppvzm.zw+gwbwzm.q_z_flipped.npy,2.0
tzzvgw.tv+gmmggq.m_zmm.npy,5.0
tzppbq.sv+pwtvgs.m_zmm.npy,5.0
tpgqmq.pv+pqzbzb.w_zmm.npy,5.0
tbmptz.zm+ggmvms.s_t_translated.npy,1.0
tpmzzz.ps+pqmgbv.z_t_translated.npy,0.0
tpbspg.mv+pqtgbv.s_t_translated.npy,0.0
ttpbzt.tq+pvgqgp.q_t_flipped.npy,1.0
tgmwtt.tt+gtbwbq.v_t_flipped.npy,2.0
tpmwgm.vw+pvtsbw.w_zmm.npy,5.0
tbpqmt.mz+gppvgb.m_t_flipped.npy,0.0
ttpqgz.wg+pvbgmw.g_z_translated.npy,1.0
tbzqts.mt+gbmpgg.w_z_rotated.npy,1.0
tbpsbt.ww+ggbpbq.b_t_rotated.npy,1.0
tzbmbb.tz+gzbwmp.p_t_flipped.npy,1.0
tzmvgg.bb+ggpqgg.p_z_flipped.npy,2.0
tbzmbz.ts+gtzwpw.w_z_flipped.npy,1.0
tzpgbs.gg+pqgqts.v_t_flipped.npy,1.0
tbgmgb.gv+gwztgs.g_zmm.npy,0.0
tztvpz.sg+ggmwgt.g_z_translated.npy,1.0
tzpbbb.gp+gmtwpv.s_z_translated.npy,1.0
tbzqpv.zv+gpggzm.w_zmm.npy,0.0
tttqpp.pv+gmpqbq.b_z_translated.npy,1.0
tzzqpb.sq+gpbpzw.g_t_flipped.npy,0.0
tgmzzq.mm+gptpbq.z_t_flipped.npy,0.0
tzbmbv.bq+psbbgt.s_zmm.npy,0.0
ttzpzz.wt+pwbwbm.v_t_translated.npy,1.0
tbggms.gg+psggpg.m_zmm.npy,5.0
tzmpgm.gb+gwtpzm.s_zmm.npy,1.0
tpttbv.bp+pqgbmg.w_z_translated.npy,1.0
tbpggs.zg+pqggbg.q_t_flipped.npy,2.0
tbgpgs.bz+gzgbtw.s_z_flipped.npy,1.0
tbmbbw.qg+gbbvpz.t_t_rotated.npy,0.0
tzmvgw.pg+pwpmzb.w_t_flipped.npy,1.0
ttmpgg.qt+gpbzgz.p_t_translated.npy,2.0
ttgppw.gs+pwbwpt.p_t_rotated.npy,0.0
tbzqtb.zz+gzmqbw.z_t_flipped.npy,2.0
tbppgz.qp+pvgvtw.z_z_translated.npy,1.0
ttbqmv.vs+ggbqpt.m_z_rotated.npy,1.0
tbtztg.qq+gmmwmg.w_z_rotated.npy,2.0
ttzmpm.vb+pqzmts.z_t_flipped.npy,0.0
tppvbw.zt+psmgmz.w_z_translated.npy,2.0
tpbpzq.mq+gmtwtm.w_t_rotated.npy,0.0
ttzvzm.pb+psbmbq.m_t_translated.npy,1.0
tgmbts.wz+gmbmgp.w_t_flipped.npy,1.0
tgmszq.ws+gtbvbt.q_z_flipped.npy,1.0
ttpzzs.vs+gbgwpb.w_z_flipped.npy,1.0
ttgsbw.gq+pwbzpv.m_zmm.npy,0.0
tmgszt.sb+gbtptv.g_t_translated.npy,1.0
tzgsgw.qg+ggtvzw.w_t_translated.npy,2.0
tbpvgp.bw+pvbqmv.p_z_flipped.npy,1.0
tbmptp.bm+ggptbs.g_t_flipped.npy,2.0
tptbts.bt+pqtvzp.g_zmm.npy,2.0
tbmwbp.sz+ggbwgs.s_z_translated.npy,2.0
ttmbmg.bs+gtpqmv.b_t_translated.npy,0.0
ttgwmg.pv+gzmppt.b_zmm.npy,0.0
ttzzgt.vq+pvgqpg.s_zmm.npy,1.0
tzbmgm.wt+pqzmbp.v_t_translated.npy,1.0
tpgpmb.qg+gzgqmw.q_z_flipped.npy,1.0
tttvtq.sg+pszvzb.t_t_flipped.npy,2.0
tbtqgz.zg+gppzgw.g_zmm.npy,1.0
tttsmt.zt+gbgbpm.w_t_flipped.npy,0.0
tbpvtg.tb+gbgqpz.m_t_translated.npy,0.0
tbbbzg.ws+gbzmmv.q_t_rotated.npy,2.0
tbbwtm.zv+gppsgt.b_z_translated.npy,2.0
ttzwmw.ws+gtmtgq.p_t_flipped.npy,1.0
tzzvgs.zv+psbwpb.t_t_rotated.npy,1.0
tbzbzv.mq+pvbtts.s_z_translated.npy,1.0
ttmmbq.wm+pszwbz.b_zmm.npy,0.0
tzgstz.qq+gbmwtb.w_t_rotated.npy,1.0
tmpqbq.vz+psgszb.g_t_rotated.npy,0.0
tbbgmm.tq+gggzpb.p_t_rotated.npy,0.0
tmppzz.vq+gzmqps.m_zmm.npy,0.0
tgmwtg.bs+gbttbp.g_t_translated.npy,1.0
tzgstb.pm+gtzgmp.p_t_translated.npy,0.0
tppzgg.qb+gzmqtq.t_t_rotated.npy,2.0
tpgztq.ww+gtzvpp.p_t_translated.npy,0.0
tbbvpt.bs+psbgps.q_zmm.npy,1.0
tbmwbv.vb+pqzgps.p_t_flipped.npy,2.0
tzptgq.qs+pwtmpg.m_t_flipped.npy,0.0
tpzvgw.zt+gpzbgp.w_t_rotated.npy,1.0
tppbmq.mg+psbsgb.z_t_flipped.npy,0.0
ttgwgz.tv+gbbppg.p_zmm.npy,0.0
tbzwtp.bs+gbgpmm.m_t_rotated.npy,0.0
tpzqps.gs+pwmsgg.v_z_flipped.npy,2.0
tbbppw.gp+gppmtv.z_t_rotated.npy,0.0
tbbpzq.mq+pvpbzq.p_zmm.npy,1.0
tzpwpv.pq+gpttbp.t_zmm.npy,0.0
tbtbtt.bp+pvbvmp.v_z_flipped.npy,1.0
tttzzs.mp+ggzwtm.b_zmm.npy,4.0
tbbbbp.zv+pqgzpm.g_t_flipped.npy,1.0
tzmvgt.vg+psgtgw.v_t_translated.npy,0.0
tzmqtb.wm+gbgvtq.z_t_flipped.npy,1.0
tzzsgp.zb+gbmbbz.s_zmm.npy,5.0
tbmpbm.pv+gmpttm.q_z_translated.npy,2.0
tbzbpb.tw+pvzwzp.b_t_rotated.npy,2.0
tbbwbq.sg+gmgbzs.z_t_rotated.npy,1.0
tzgqgb.qg+gmgbmz.w_t_rotated.npy,1.0
tbbpbs.tq+gwbtps.w_t_flipped.npy,1.0
ttmqgs.gs+gtzzpq.w_t_translated.npy,0.0
tbpwms.gb+gpmtpg.p_t_rotated.npy,2.0
tpbbmq.pv+gbtbgv.m_zmm.npy,4.0
tzgqps.wg+gpmmzz.q_zmm.npy,5.0
ttpmbs.zs+gbtzpw.b_zmm.npy,0.0
tptzzq.gm+pspttq.w_zmm.npy,5.0
tztqbt.sw+pvbstt.g_zmm.npy,5.0
tmgpzz.qq+gbmvms.v_z_rotated.npy,1.0
tgmwzs.wv+gbgppg.w_z_flipped.npy,2.0
tzbgzg.gw+pqgwgs.z_t_flipped.npy,0.0
tppztv.ww+gmppmb.s_z_rotated.npy,1.0
ttgmgt.wg+pwzvtv.q_z_rotated.npy,1.0
tbzzgs.gb+ggtqbp.t_t_translated.npy,0.0
tpbgzv.zq+pqmwbm.w_zmm.npy,1.0
tttbtw.zm+pvmbgb.z_zmm.npy,5.0
tzgggw.wg+gzmbgb.w_zmm.npy,0.0
tzzpbs.qp+gmmvmw.t_zmm.npy,5.0
tmgsbw.gq+pvbmgm.s_z_translated.npy,1.0
tpzvzv.ms+pggsmg.m_zmm.npy,1.0
tppwms.sz+ggzvpz.g_zmm.npy,0.0
tztpmw.tm+gpbtpz.b_t_translated.npy,1.0
tpgqzw.sw+ggzpgv.q_z_flipped.npy,1.0
tgmwms.wb+gzgwpw.q_t_rotated.npy,0.0
tttzpb.mb+pwmwmv.z_z_rotated.npy,2.0
tbtpbs.bw+gmmqmg.z_t_flipped.npy,0.0
tzpvmq.pg+pqzggm.b_z_rotated.npy,1.0
tttwbg.sg+pqppzb.v_zmm.npy,5.0
tmgpzz.qq+gbmvms.v_z_translated.npy,1.0
tpmbpq.vw+pqgbms.p_t_flipped.npy,2.0
tzgsgg.ww+gpttgg.t_t_flipped.npy,1.0
tbbzgt.vt+gpmsbq.z_z_flipped.npy,1.0
tbzggv.zv+gmbvmq.s_t_translated.npy,1.0
tbgtbp.qt+pqmztv.p_t_translated.npy,0.0
tbbmmp.qw+gptpgt.s_zmm.npy,1.0
tzbzbp.bt+gtptmq.s_z_flipped.npy,1.0
ttgqbp.vb+gmbgbw.z_t_flipped.npy,0.0
